Code,Message,Provider,Catégorie,Occurrences,Dernière_Occurrence,Date_Mise_A_Jou
,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,73660,2026-03-19 16:53:30,2026-03-19 21:45:34
602,test cyclique,CORS,unknown,13382,2026-03-19 17:00:08,2026-03-19 21:45:34
TEST,,"CORS, PROVIDER_UNCLASSIFIED",unknown,11373,2026-03-13 05:37:15,2026-03-19 21:45:34
01401,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,7083,2026-03-18 19:00:01,2026-03-19 21:45:34
,test cyclique,"CORS, YPSILON_HISTO",unknown,5877,2026-03-01 06:07:18,2026-03-19 21:45:34
,,"CORS, SPGO",UNK,5041,2026-03-05 11:59:59,2026-03-19 21:45:34
$0047,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,2566,2026-03-09 23:00:14,2026-03-19 21:45:34
2026,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,2336,2026-03-19 16:52:10,2026-03-19 21:45:34
01401-MHS,,YPSILON_HISTO,unknown,2326,2026-03-02 11:44:40,2026-03-19 21:45:34
MISE,,"CORS, PROVIDER_UNCLASSIFIED",unknown,1981,2026-03-13 05:30:37,2026-03-19 21:45:34
02401,,"CORS, PROVIDER_UNCLASSIFIED",unknown,1420,2026-03-13 05:36:39,2026-03-19 21:45:34
0003,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,1370,2026-03-09 11:31:40,2026-03-19 21:45:34
344,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,1345,2026-03-19 05:59:58,2026-03-19 21:45:34
710,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,971,2026-03-19 03:33:33,2026-03-19 21:45:34
0000,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,922,2026-03-09 11:48:41,2026-03-19 21:45:34
92,test cyclique gprs,CORS,unknown,865,2026-03-19 16:39:13,2026-03-19 21:45:34
02401-MHS,,YPSILON_HISTO,unknown,802,2026-03-02 11:41:14,2026-03-19 21:45:34
28674,,"PROVIDER_UNCLASSIFIED, SPGO",unknown,798,2026-03-19 07:55:01,2026-03-19 21:45:34
MVS,apparition myvideosuite,"CORS, SPGO, YPSILON_HISTO",unknown,794,2026-03-19 15:31:06,2026-03-19 21:45:34
01401-MHS,mise hors service 0003,CORS,unknown,769,2026-03-19 16:48:06,2026-03-19 21:45:34
0004,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,756,2026-03-09 11:55:56,2026-03-19 21:45:34
VIDEOMAIL,apparition alarme video,"CORS, YPSILON_HISTO",unknown,746,2026-03-19 16:16:02,2026-03-19 21:45:34
0005,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,736,2026-03-09 11:42:58,2026-03-19 21:45:34
0008,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,706,2026-03-09 11:37:04,2026-03-19 21:45:34
MVS,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,636,2026-03-19 13:14:44,2026-03-19 21:45:34
$0017,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,628,2026-03-19 10:44:14,2026-03-19 21:45:34
710,disparition coupure ip 0911,"CORS, SPGO, YPSILON_HISTO",unknown,617,2026-03-19 16:14:11,2026-03-19 21:45:34
01401,mise en service 0003,CORS,unknown,611,2026-03-19 16:54:55,2026-03-19 21:45:34
0002,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,599,2026-03-09 11:45:14,2026-03-19 21:45:34
0007,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,597,2026-03-09 11:57:00,2026-03-19 21:45:34
609,,"CORS, PROVIDER_UNCLASSIFIED, SPGO",unknown,594,2026-03-19 09:41:05,2026-03-19 21:45:34
$0911,,"CORS, PROVIDER_UNCLASSIFIED",unknown,579,2026-03-09 11:46:54,2026-03-19 21:45:34
,apparition alarme video,CORS,unknown,569,2026-02-28 06:08:17,2026-03-19 21:45:34
0911,,"PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,547,2026-03-03 21:14:34,2026-03-19 21:45:34
0006,,"CORS, PROVIDER_UNCLASSIFIED, SPGO, YPSILON_HISTO",unknown,541,2026-03-09 10:15:46,2026-03-19 21:45:34
